section,agency_name,homepage_url,parent_department
A,AbilityOne Commission,https://www.abilityone.gov/,
A,Access Board,https://www.access-board.gov/,
A,Administration for Children and Families        (ACF),https://www.acf.hhs.gov/,
A,Administration for Community Living         (ACL),https://acl.gov/,
A,Administration for Native Americans        (ANA),https://www.acf.hhs.gov/ana,
A,Administrative Conference of the United States        (ACUS),https://www.acus.gov/,
A,Administrative Office of the U.S. Courts,https://www.uscourts.gov/,
A,Advisory Council on Historic Preservation        (ACHP),https://www.achp.gov/,
A,Africa Command,https://www.africom.mil/,
A,African Development Foundation        (USADF),https://www.usadf.gov/,
A,Agency for Global Media,https://www.usagm.gov/,
A,Agency for Healthcare Research and Quality        (AHRQ),https://www.ahrq.gov/,
A,Agency for International Development        (USAID),http://www.usaid.gov/,
A,Agency for Toxic Substances and Disease Registry (ATSDR),https://www.atsdr.cdc.gov/,
A,Agricultural Marketing Service        (AMS),https://www.ams.usda.gov/,
A,Agricultural Research Service        (ARS),https://www.ars.usda.gov/,
A,Agriculture Department        (USDA),https://www.usda.gov/,
A,Agriculture Library        (NAL),https://www.nal.usda.gov/,
A,Air Force,https://www.af.mil/,
A,Air Force Reserve,https://www.afrc.af.mil/,
A,Alcohol and Tobacco Tax and Trade Bureau        (TTB),https://www.ttb.gov,
A,"Alcohol, Tobacco, Firearms and Explosives Bureau        (ATF)",https://www.atf.gov/,
A,Alhurra TV,https://www.alhurra.com/,
A,American Battle Monuments Commission        (ABMC),https://www.abmc.gov/,
A,AmeriCorps,https://americorps.gov/,
A,AmeriCorps Seniors,https://americorps.gov/serve/americorps-seniors,
A,Animal and Plant Health Inspection Service        (APHIS),https://www.aphis.usda.gov/aphis/home/,
A,Antitrust Division,https://www.justice.gov/atr,
A,Appalachian Regional Commission        (ARC),https://www.arc.gov/,
A,Architect of the Capitol,https://www.aoc.gov/,
A,"Archives, National Archives and Records Administration        (NARA)",https://www.archives.gov/,
A,Arctic Research Commission        (USARC),https://www.arctic.gov/,
A,Armed Forces Retirement Home        (AFRH),http://www.afrh.gov/,
A,Arms Control and International Security,https://www.state.gov/bureaus-offices/under-secretary-for-arms-control-and-international-security-affairs/,
A,Army,https://www.army.mil/,
A,Army Corps of Engineers,http://www.usace.army.mil/,
A,"Arthritis, Musculoskeletal and Skin Diseases, National Institute of        (NIAMS)",https://www.niams.nih.gov/,
